Numero,id,Titulo,Views
1,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,334718
2,EMm1nPzChyI,Produção Racional e Sustentavel de Ovinos nos Tabuleiros Costeiros,261974
3,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,128746
4,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,111438
5,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,118962
6,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,33619
7,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,14600
8,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,17670
9,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,9417
10,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,15353
11,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,6698
12,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,10555
13,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,12419
14,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,6472
15,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,28648
16,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,3743
17,9p_6pZCYVok,Introdução da Soja no Nordeste,2956
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,3993
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1648
20,HSIaTLgr2bU,Mapeamento da mangaba no Brasil,713
