Numero,id,Titulo,Views
1,tPJzm39kmoQ,"Embrapa mostra como realizar um terraceamento, curva em nível",417914
2,fiGwu1aXNfw,Gliricídia é um ótimo alimento para os animais,93209
3,t8QAkme6m8M,Cobertura morta com palha de coqueiro economiza água e evita ervas daninhas,14885
4,QwCbJSV49nk,Braquiária pode ser a salvação da lavoura de soja no Nordeste,9992
5,O3sp5Qphl8A,Comparativo: primeiro e quarto ano de cultivo de soja em área tradicional de plantio de cana,7382
6,7CccNuwDjfY,Integrando lavoura com pecuária e floresta (ILPF) no Nordeste,739
7,Rw57unxzcGs,Renovabio - a nova política para biocombustível,1556
8,khWe-Zhx2HY,ILPF no Nordeste: Aprendizados e desafios,1268
9,U1_limKscyE,Condições climáticas e manejo da soja em Alagoas,613
10,az4Am6P3ksY,SEO - Vídeo 1 - Introdução -   mil visualizações DIÁRIAS em 43 vídeos.,118
11,9n59NlPpWWE,SEO - video 2 - Tipo de conteúdo é o fator principal,62
12,NgkeoiRCDbo,"SEO - Vídeo 3 - Backlinks,  pageranks, conteúdo correspondem à 80% do sucesso em visualizações",55
13,CCIKouQ1ttc,SEO Vídeo 4 - Dicas de inserção de vídeos no Youtube com técnicas de SEO,48
14,ZQoIvLf-Kb8,"SEO   vídeo 5   Títulos, subtítulos e capas de vídeos",64
15,a5TjKzcdGuM,SEO   vídeo 6   Texto junto ao vídeo,51
16,eu-HbrDVn4Y,SEO   vídeo 7   Dicas para palavras chaves tags e frases long tags,48
17,aSPua88KoDU,Sistema de plantio direto: manejo de solo e espécies na ILP – Edson Patto,477
18,mYgcEcJO4RQ,Produção de queijo coalho com higiene: Embrapa recomenda,11078
