Numero,id,Titulo,Views
1,tPJzm39kmoQ,"Embrapa mostra como realizar um terraceamento, curva em nível",389722
2,fiGwu1aXNfw,Gliricídia é um ótimo alimento para os animais,84997
3,t8QAkme6m8M,Cobertura morta com palha de coqueiro economiza água e evita ervas daninhas,13638
4,QwCbJSV49nk,Braquiária pode ser a salvação da lavoura de soja no Nordeste,8974
5,O3sp5Qphl8A,Comparativo: primeiro e quarto ano de cultivo de soja em área tradicional de plantio de cana,6138
6,7CccNuwDjfY,Integrando lavoura com pecuária e floresta (ILPF) no Nordeste,638
7,Rw57unxzcGs,Renovabio - a nova política para biocombustível,1492
8,khWe-Zhx2HY,ILPF no Nordeste: Aprendizados e desafios,1217
9,U1_limKscyE,Condições climáticas e manejo da soja em Alagoas,558
10,az4Am6P3ksY,SEO - Vídeo 1 - Introdução -   mil visualizações DIÁRIAS em 43 vídeos.,115
11,9n59NlPpWWE,SEO - video 2 - Tipo de conteúdo é o fator principal,60
12,NgkeoiRCDbo,"SEO - Vídeo 3 - Backlinks,  pageranks, conteúdo correspondem à 80% do sucesso em visualizações",54
13,CCIKouQ1ttc,SEO Vídeo 4 - Dicas de inserção de vídeos no Youtube com técnicas de SEO,47
14,ZQoIvLf-Kb8,"SEO   vídeo 5   Títulos, subtítulos e capas de vídeos",62
15,a5TjKzcdGuM,SEO   vídeo 6   Texto junto ao vídeo,50
16,eu-HbrDVn4Y,SEO   vídeo 7   Dicas para palavras chaves tags e frases long tags,47
17,aSPua88KoDU,Sistema de plantio direto: manejo de solo e espécies na ILP – Edson Patto,411
18,mYgcEcJO4RQ,Produção de queijo coalho com higiene: Embrapa recomenda,7147
