Numero,id,Titulo,Views
1,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,163148
2,EMm1nPzChyI,Produção Racional e Sustentável de Ovinos nos Tabuleiros Costeiros,291750
3,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,31234
4,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,354679
5,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,148569
6,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,132381
7,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,22606
8,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,16098
9,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,9712
10,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,8513
11,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,35897
12,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,4490
13,9p_6pZCYVok,Introdução da Soja no Nordeste,3904
14,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,15750
15,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,16201
16,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,13897
17,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,10331
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,4062
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1798
