Numero,id,Titulo,Views
1,EMm1nPzChyI,Produção Racional e Sustentavel de Ovinos nos Tabuleiros Costeiros,290763
2,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,30974
3,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,149252
4,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,348359
5,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,142054
6,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,128459
7,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,20865
8,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,14006
9,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,8894
10,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,7854
11,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,35445
12,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,4261
13,9p_6pZCYVok,Introdução da Soja no Nordeste,3637
14,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,15380
15,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,16033
16,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,13329
17,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,9994
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,4019
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1737
20,HSIaTLgr2bU,Mapeamento da mangaba no Brasil,714
