Numero,id,Titulo,Views
1,EMm1nPzChyI,Produção Racional e Sustentavel de Ovinos nos Tabuleiros Costeiros,290284
2,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,30887
3,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,146545
4,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,346940
5,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,140309
6,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,127575
7,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,20542
8,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,13413
9,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,8771
10,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,7653
11,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,35283
12,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,4187
13,9p_6pZCYVok,Introdução da Soja no Nordeste,3572
14,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,15279
15,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,15973
16,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,13154
17,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,9912
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,4015
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1725
20,HSIaTLgr2bU,Mapeamento da mangaba no Brasil,714
