Numero,id,Titulo,Views
1,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,250331
2,aNlZfBREjSs,Palma forrageira: dicas de como alimentar seus animais no semiárido,54631
3,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,91762
4,yv8HUagtV_w,Como produzir mudas de gliricídia,84774
5,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",76144
6,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,199299
7,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,47094
8,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,55275
9,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,61187
10,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,11490
11,lmHKZoPY-g0,Gliricídia convive bem com a seca,37286
12,RayhKM1NsIc,Livro sobre mangaba,8370
13,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",5512
14,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,1928
15,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,7995
16,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,1978
17,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1420
