Numero,id,Titulo,Views
1,tPJzm39kmoQ,"Embrapa mostra como realizar um terraceamento, curva em nível",473399
2,fiGwu1aXNfw,Gliricídia é um ótimo alimento para os animais,118993
3,VQZkcCMVTj4,Fossa Séptica Biodigestora,44144
4,mYgcEcJO4RQ,Produção de queijo coalho com higiene: Embrapa recomenda,18583
5,C_21ghi6grE,Pasteurização lenta do leite para queijos artesanais saudáveis com qualidade,8435
6,t8QAkme6m8M,Cobertura morta com palha de coqueiro economiza água e evita ervas daninhas,17070
7,O3sp5Qphl8A,Comparativo: primeiro e quarto ano de cultivo de soja em área tradicional de plantio de cana,9116
8,QwCbJSV49nk,Braquiária pode ser a salvação da lavoura de soja no Nordeste,11356
9,7CccNuwDjfY,Integrando lavoura com pecuária e floresta (ILPF) no Nordeste,838
10,Rw57unxzcGs,Renovabio - a nova política para biocombustível,1629
11,khWe-Zhx2HY,ILPF no Nordeste: Aprendizados e desafios,1314
12,U1_limKscyE,Condições climáticas e manejo da soja em Alagoas,680
13,aSPua88KoDU,"Plantio direto: manejo de solo entre braquiária, milho e soja",637
14,az4Am6P3ksY,SEO - Vídeo 1 - Introdução -   mil visualizações DIÁRIAS em 43 vídeos.,133
15,9n59NlPpWWE,SEO - video 2 - Tipo de conteúdo é o fator principal,65
16,NgkeoiRCDbo,"SEO - Vídeo 3 - Backlinks,  pageranks, conteúdo correspondem à 80% do sucesso em visualizações",57
17,CCIKouQ1ttc,SEO Vídeo 4 - Dicas de inserção de vídeos no Youtube com técnicas de SEO,56
18,ZQoIvLf-Kb8,"SEO   vídeo 5   Títulos, subtítulos e capas de vídeos",65
19,a5TjKzcdGuM,SEO   vídeo 6   Texto junto ao vídeo,52
20,eu-HbrDVn4Y,SEO   vídeo 7   Dicas para palavras chaves tags e frases long tags,49
