Numero,id,Titulo,Views
1,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,161786
2,EMm1nPzChyI,Produção Racional e Sustentável de Ovinos nos Tabuleiros Costeiros,291110
3,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,31203
4,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,354236
5,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,147296
6,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,132266
7,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,22281
8,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,16077
9,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,9693
10,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,8500
11,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,35833
12,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,4484
13,9p_6pZCYVok,Introdução da Soja no Nordeste,3892
14,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,15712
15,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,16182
16,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,13773
17,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,10304
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,4052
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1791
