Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,843099
2,ymknJKeFoLY,Aquaponia passo a passo - Como montar,428303
3,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,261189
4,VQZkcCMVTj4,Fossa Séptica Biodigestora,54422
5,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,88582
6,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,40597
7,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,88612
8,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,39446
9,yv8HUagtV_w,Como produzir mudas de gliricídia,94795
10,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,54374
11,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",50797
12,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,104286
13,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,203671
14,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",84208
15,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,18460
16,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,50055
17,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,20283
18,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,49871
19,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,62665
20,E1hFLpqf1AM,Da hidroponia para aquaponia,201317
21,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,58725
22,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",16557
23,Wp7xf1BQXBA,Atenção ao alimentar animais só com palma forrageira,19819
24,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,12277
25,S3YrDEW-l4Q,"Embrapa integra gliricídia, coqueiro e bovinos",13447
26,iN-uXRLJ-58,Economize água no plantio do coqueiro,6286
27,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,9103
28,lmHKZoPY-g0,Gliricídia convive bem com a seca,38773
29,zzZmzn3ynhc,Uso do drone na Agricultura,22979
30,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,12191
31,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,9646
32,RayhKM1NsIc,Livro sobre mangaba,8579
33,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,4667
34,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",5775
35,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,2116
36,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,8200
37,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,2402
38,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1499
39,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1368
40,tFeJyx3vCZs,Gliricídia como fonte de nitrogênio,11090
