Numero,id,Titulo,Views
1,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,165125
2,EMm1nPzChyI,Produção Racional e Sustentável de Ovinos nos Tabuleiros Costeiros,292646
3,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,31286
4,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,355247
5,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,149898
6,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,132518
7,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,23104
8,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,16128
9,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,9718
10,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,8538
11,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,35975
12,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,4500
13,9p_6pZCYVok,Introdução da Soja no Nordeste,3919
14,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,15817
15,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,16221
16,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,14003
17,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,10392
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,4063
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1804
20,HSIaTLgr2bU,Mapeamento da mangaba no Brasil,721
