Numero,id,Titulo,Views
1,EMm1nPzChyI,Produção Racional e Sustentável de Ovinos nos Tabuleiros Costeiros,299461
2,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,31434
3,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,172882
4,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,357057
5,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,153168
6,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,134014
7,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,24330
8,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,16213
9,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,9757
10,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,8680
11,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,36177
12,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,4554
13,9p_6pZCYVok,Introdução da Soja no Nordeste,3982
14,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,16006
15,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,16301
16,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,14173
17,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,10587
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,4083
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1838
20,HSIaTLgr2bU,Mapeamento da mangaba no Brasil,721
