Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,833760
2,ymknJKeFoLY,Aquaponia passo a passo - Como montar,425965
3,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,259608
4,VQZkcCMVTj4,Fossa Séptica Biodigestora,52987
5,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,87679
6,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,39114
7,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,87435
8,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,39233
9,yv8HUagtV_w,Como produzir mudas de gliricídia,93519
10,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,53688
11,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",50451
12,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,102846
13,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,203124
14,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",82763
15,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,18267
16,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,49593
17,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,19892
18,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,49549
19,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,62483
20,E1hFLpqf1AM,Da hidroponia para aquaponia,200823
21,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,58319
22,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",16438
23,Wp7xf1BQXBA,Atenção ao alimentar animais só com palma forrageira,19664
24,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,12149
25,S3YrDEW-l4Q,"Embrapa integra gliricídia, coqueiro e bovinos",13225
26,iN-uXRLJ-58,Economize água no plantio do coqueiro,6159
27,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,8951
28,lmHKZoPY-g0,Gliricídia convive bem com a seca,38652
29,zzZmzn3ynhc,Uso do drone na Agricultura,22938
30,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,12052
31,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,9534
32,RayhKM1NsIc,Livro sobre mangaba,8563
33,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,4620
34,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",5727
35,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,2099
36,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,8173
37,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,2341
38,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1495
39,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1360
40,tFeJyx3vCZs,Gliricídia como fonte de nitrogênio,10214
