Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,891444
2,ymknJKeFoLY,Aquaponia passo a passo - Como montar,438566
3,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,268090
4,VQZkcCMVTj4,Fossa Séptica Biodigestora,60454
5,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,92797
6,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,48857
7,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,92916
8,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,40413
9,yv8HUagtV_w,Como produzir mudas de gliricídia,100074
10,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,57770
11,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",51894
12,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,112783
13,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,206720
14,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",90257
15,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,19183
16,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,52020
17,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,22197
18,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,50970
19,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,63274
20,E1hFLpqf1AM,Da hidroponia para aquaponia,203230
21,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,60474
22,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",16926
23,Wp7xf1BQXBA,Atenção ao alimentar animais só com palma forrageira,21205
24,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,12624
25,S3YrDEW-l4Q,"Embrapa integra gliricídia, coqueiro e bovinos",14854
26,iN-uXRLJ-58,Economize água no plantio do coqueiro,7084
27,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,10002
28,lmHKZoPY-g0,Gliricídia convive bem com a seca,39265
29,zzZmzn3ynhc,Uso do drone na Agricultura,23287
30,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,12689
31,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,9981
32,RayhKM1NsIc,Livro sobre mangaba,8672
33,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,4961
34,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",5951
35,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,2223
36,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,8352
37,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,2858
38,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1505
39,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1395
40,tFeJyx3vCZs,Gliricídia como fonte de nitrogênio,15117
