Numero,id,Titulo,Views
1,EMm1nPzChyI,Produção Racional e Sustentável de Ovinos nos Tabuleiros Costeiros,305497
2,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,31461
3,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,175312
4,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,357591
5,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,154492
6,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,134425
7,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,24654
8,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,16224
9,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,9772
10,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,8696
11,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,36214
12,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,4568
13,9p_6pZCYVok,Introdução da Soja no Nordeste,3997
14,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,16275
15,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,16316
16,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,14242
17,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,10654
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,4087
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1852
20,HSIaTLgr2bU,Mapeamento da mangaba no Brasil,723
