Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,922220
2,ymknJKeFoLY,Aquaponia passo a passo: como montar #embrapa,446725
3,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,275704
4,VQZkcCMVTj4,Fossa Séptica Biodigestora,66197
5,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,95899
6,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,56697
7,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,96618
8,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,41227
9,yv8HUagtV_w,Como produzir mudas de gliricídia,104597
10,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,60393
11,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",53143
12,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,121279
13,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,208736
14,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",95720
15,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,19575
16,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,53061
17,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,23497
18,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,52063
19,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,63767
20,E1hFLpqf1AM,Da hidroponia para aquaponia,204412
21,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,62304
22,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",17189
23,Wp7xf1BQXBA,Atenção ao alimentar animais só com palma forrageira,22414
24,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,13093
25,S3YrDEW-l4Q,"Embrapa integra gliricídia, coqueiro e bovinos",15972
26,iN-uXRLJ-58,Economize água no plantio do coqueiro,7764
27,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,10529
28,lmHKZoPY-g0,Gliricídia convive bem com a seca,40155
29,zzZmzn3ynhc,Uso do drone na Agricultura,23567
30,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,13103
31,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,10192
32,RayhKM1NsIc,Livro sobre mangaba,8711
33,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,5238
34,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",6151
35,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,2249
36,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,8423
37,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,3175
38,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1509
39,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1427
40,tFeJyx3vCZs,Gliricídia como fonte de nitrogênio,18143
