Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,922259
2,ymknJKeFoLY,Aquaponia passo a passo: como montar #embrapa,446734
3,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,121289
4,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,56709
5,aNlZfBREjSs,Palma forrageira: dicas de como alimentar seus animais no semiárido,77619
6,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,275715
7,VQZkcCMVTj4,Fossa Séptica Biodigestora,66204
8,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",95731
9,yv8HUagtV_w,Como produzir mudas de gliricídia,104600
10,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,95902
11,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,96621
12,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,60395
13,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,208736
14,tFeJyx3vCZs,Gliricídia como fonte de nitrogênio,18146
15,Wp7xf1BQXBA,Atenção ao alimentar animais só com palma forrageira,22414
16,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",53142
17,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,53061
18,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,41227
19,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,23498
20,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,52064
21,E1hFLpqf1AM,Da hidroponia para aquaponia,204417
22,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",17189
23,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,62304
24,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,63767
25,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",17189
26,He1AiTaEyPU,Soja: solução para crise canavieira no Nordeste,8189
27,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,13095
28,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,19576
29,iN-uXRLJ-58,Economize água no plantio do coqueiro,7764
30,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,10529
31,lmHKZoPY-g0,Gliricídia convive bem com a seca,40156
32,zzZmzn3ynhc,Uso do drone na Agricultura,23569
33,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,13103
34,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,10193
35,RayhKM1NsIc,Livro sobre mangaba,8711
36,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,5238
37,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",6151
38,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,2249
39,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,8424
40,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,3175
41,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1509
42,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1427
