Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,961625
2,ymknJKeFoLY,Aquaponia passo a passo: como montar #embrapa,456295
3,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,127374
4,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,64878
5,aNlZfBREjSs,Palma forrageira: dicas de como alimentar seus animais no semiárido,82204
6,cMJZtGIhCqE,Fossa séptica biodigestora. Dejetos humanos viram fertilizante,284068
7,VQZkcCMVTj4,Fossa Séptica Biodigestora,73073
8,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",101920
9,yv8HUagtV_w,Como produzir mudas de gliricídia,107704
10,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,99083
11,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,99550
12,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,63141
13,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,210343
14,tFeJyx3vCZs,Gliricídia como fonte de nitrogênio,20860
15,Wp7xf1BQXBA,Atenção ao alimentar animais só com palma forrageira,23321
16,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",54492
17,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,55386
18,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,42599
19,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,25179
20,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,52985
21,E1hFLpqf1AM,Da hidroponia para aquaponia,205826
22,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",17550
23,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,64468
24,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,64213
25,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",17550
26,He1AiTaEyPU,Soja: solução para crise canavieira no Nordeste,8218
27,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,13678
28,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,20204
29,iN-uXRLJ-58,Economize água na irrigação do coqueiro,9071
30,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,11118
31,lmHKZoPY-g0,Gliricídia convive bem com a seca,40648
32,zzZmzn3ynhc,Uso do drone na Agricultura,24065
33,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,13632
34,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,10481
35,RayhKM1NsIc,Livro sobre mangaba,8752
36,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueiros e outras palmáceas,5524
37,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",6385
38,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,2279
39,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,8544
40,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,3629
41,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1529
42,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1473
