Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,941728
2,ymknJKeFoLY,Aquaponia passo a passo: como montar #embrapa,451944
3,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,124626
4,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,60849
5,aNlZfBREjSs,Palma forrageira: dicas de como alimentar seus animais no semiárido,79628
6,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,280509
7,VQZkcCMVTj4,Fossa Séptica Biodigestora,69608
8,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",98861
9,yv8HUagtV_w,Como produzir mudas de gliricídia,106199
10,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,97689
11,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,98213
12,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,61725
13,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,209685
14,tFeJyx3vCZs,Gliricídia como fonte de nitrogênio,19629
15,Wp7xf1BQXBA,Atenção ao alimentar animais só com palma forrageira,22838
16,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",53864
17,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,54137
18,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,41931
19,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,24394
20,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,52595
21,E1hFLpqf1AM,Da hidroponia para aquaponia,205238
22,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",17396
23,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,63519
24,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,64043
25,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",17396
26,He1AiTaEyPU,Soja: solução para crise canavieira no Nordeste,8201
27,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,13421
28,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,19878
29,iN-uXRLJ-58,Economize água no plantio do coqueiro,8264
30,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,10754
31,lmHKZoPY-g0,Gliricídia convive bem com a seca,40493
32,zzZmzn3ynhc,Uso do drone na Agricultura,23810
33,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,13380
34,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,10336
35,RayhKM1NsIc,Livro sobre mangaba,8732
36,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,5357
37,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",6262
38,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,2265
39,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,8495
40,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,3406
41,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1518
42,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1450
