Numero,id,Titulo,Views
1,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,305489
2,EMm1nPzChyI,Produção Racional e Sustentavel de Ovinos nos Tabuleiros Costeiros,164852
3,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,114532
4,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,71158
5,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,96553
6,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,31057
7,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,13438
8,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,13815
9,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,8664
10,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,13925
11,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,4434
12,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,5324
13,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,11501
14,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,4707
15,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,16023
16,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,3077
17,9p_6pZCYVok,Introdução da Soja no Nordeste,1645
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,3935
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1548
20,HSIaTLgr2bU,Mapeamento da mangaba no Brasil,712
